source,target,type,weight
1,45826,directed,1
2,46,directed,1
3,45827,directed,1
4,45828,directed,1
3,45829,directed,1
5,45830,directed,1
5,45831,directed,1
6,45832,directed,1
6,45827,directed,1
7,45833,directed,1
8,22057,directed,1
9,1071,directed,1
10,45834,directed,1
10,45835,directed,1
11,45836,directed,1
11,45837,directed,1
11,45838,directed,1
11,45839,directed,1
10,45827,directed,1
12,45840,directed,1
13,45833,directed,1
14,45841,directed,1
15,45842,directed,1
16,45843,directed,1
17,7818,directed,1
18,45844,directed,1
19,45845,directed,1
20,45833,directed,1
21,45846,directed,1
21,45847,directed,1
21,45848,directed,1
22,45849,directed,1
23,45850,directed,1
24,45851,directed,1
25,45852,directed,1
25,45853,directed,1
26,45854,directed,1
26,45855,directed,1
26,45856,directed,1
27,45857,directed,1
27,45858,directed,1
28,45859,directed,1
29,45860,directed,1
30,45861,directed,1
31,45862,directed,1
32,45863,directed,1
33,45864,directed,1
25,45865,directed,1
25,45866,directed,1
25,45867,directed,1
25,45868,directed,1
31,7693,directed,1
31,45869,directed,1
26,45870,directed,1
26,7733,directed,1
31,45869,directed,1
34,45871,directed,1
34,45872,directed,1
34,45873,directed,1
34,45874,directed,1
34,45875,directed,1
35,45876,directed,1
36,45877,directed,1
37,45878,directed,1
38,45879,directed,1
38,45833,directed,1
39,45880,directed,1
39,45881,directed,1
40,45882,directed,1
40,45883,directed,1
38,45833,directed,1
13,45845,directed,1
13,45884,directed,1
40,45885,directed,1
41,45886,directed,1
41,45887,directed,1
41,45888,directed,1
42,45889,directed,1
10,45890,directed,1
41,45886,directed,1
41,45891,directed,1
41,45888,directed,1
38,45892,directed,1
25,45893,directed,1
25,45894,directed,1
25,45895,directed,1
43,45896,directed,1
43,1071,directed,1
44,45897,directed,1
2,46,directed,1
45,45898,directed,1
34,45876,directed,1
34,45899,directed,1
46,2,directed,1
47,45836,directed,1
48,45900,directed,1
48,45901,directed,1
48,45900,directed,1
48,45836,directed,1
48,45900,directed,1
48,45836,directed,1
49,45902,directed,1
49,45903,directed,1
50,45836,directed,1
51,45904,directed,1
52,45905,directed,1
53,45906,directed,1
53,26767,directed,1
54,45907,directed,1
55,45908,directed,1
56,45909,directed,1
57,45910,directed,1
58,45911,directed,1
58,45912,directed,1
59,45913,directed,1
59,45914,directed,1
59,45915,directed,1
60,45916,directed,1
61,45917,directed,1
62,45918,directed,1
62,45827,directed,1
63,45919,directed,1
64,45920,directed,1
65,45921,directed,1
55,45908,directed,1
66,7733,directed,1
20,45922,directed,1
67,45923,directed,1
68,45924,directed,1
69,45925,directed,1
52,45926,directed,1
52,45927,directed,1
70,45827,directed,1
70,45928,directed,1
38,45845,directed,1
25,21466,directed,1
25,45929,directed,1
25,45930,directed,1
25,45931,directed,1
25,45932,directed,1
52,45885,directed,1
52,3042,directed,1
52,45933,directed,1
52,45863,directed,1
52,45934,directed,1
52,45935,directed,1
52,45936,directed,1
52,45937,directed,1
52,45938,directed,1
52,45939,directed,1
52,45940,directed,1
52,11546,directed,1
52,45941,directed,1
52,45942,directed,1
52,45943,directed,1
52,45944,directed,1
52,22692,directed,1
52,45945,directed,1
52,45946,directed,1
52,45947,directed,1
52,45948,directed,1
52,45949,directed,1
71,45950,directed,1
5,45951,directed,1
72,45952,directed,1
5,45953,directed,1
72,45954,directed,1
71,45834,directed,1
73,7669,directed,1
73,45826,directed,1
5,45876,directed,1
5,45955,directed,1
5,45956,directed,1
