source,target,type,weight
1,38,directed,1
2,25671,directed,1
3,25672,directed,1
2,25673,directed,1
4,25674,directed,1
5,25675,directed,1
6,25676,directed,1
7,25677,directed,1
8,25678,directed,1
8,25671,directed,1
9,25679,directed,1
10,25675,directed,1
11,25680,directed,1
12,25681,directed,1
13,5708,directed,1
14,25682,directed,1
15,25683,directed,1
16,25675,directed,1
17,25684,directed,1
18,25685,directed,1
19,25686,directed,1
20,25687,directed,1
21,25688,directed,1
22,25689,directed,1
23,25690,directed,1
24,25691,directed,1
25,25692,directed,1
21,25693,directed,1
26,4634,directed,1
26,25694,directed,1
27,25695,directed,1
28,25696,directed,1
15,15,directed,1
29,25697,directed,1
30,25698,directed,1
31,25699,directed,1
32,25700,directed,1
30,25675,directed,1
10,25683,directed,1
10,25701,directed,1
32,25702,directed,1
33,25703,directed,1
34,25704,directed,1
8,877,directed,1
33,25703,directed,1
30,25705,directed,1
21,25706,directed,1
35,25707,directed,1
36,25708,directed,1
1,38,directed,1
37,25709,directed,1
38,1,directed,1
39,25710,directed,1
40,25711,directed,1
41,25712,directed,1
42,25710,directed,1
43,25713,directed,1
44,25714,directed,1
45,25715,directed,1
46,46,directed,1
47,25716,directed,1
48,25717,directed,1
49,25718,directed,1
50,25719,directed,1
51,25720,directed,1
52,25721,directed,1
53,25722,directed,1
54,25723,directed,1
46,25724,directed,1
55,25725,directed,1
16,25726,directed,1
56,25727,directed,1
57,25728,directed,1
58,25729,directed,1
43,25730,directed,1
59,25671,directed,1
30,25683,directed,1
21,25731,directed,1
43,25702,directed,1
43,25732,directed,1
60,25733,directed,1
61,25734,directed,1
62,242,directed,1
61,25735,directed,1
62,25736,directed,1
60,25678,directed,1
63,4922,directed,1
61,25737,directed,1
61,25738,directed,1
61,25739,directed,1
64,951,directed,1
61,25740,directed,1
61,25741,directed,1
65,25742,directed,1
61,25737,directed,1
61,25743,directed,1
61,25741,directed,1
61,25744,directed,1
61,25744,directed,1
66,25745,directed,1
67,25746,directed,1
68,25747,directed,1
61,25748,directed,1
63,25727,directed,1
61,25749,directed,1
69,25750,directed,1
61,25751,directed,1
60,25752,directed,1
61,25753,directed,1
61,25754,directed,1
66,25755,directed,1
63,25756,directed,1
61,25757,directed,1
70,25680,directed,1
61,25715,directed,1
71,25758,directed,1
61,25683,directed,1
63,25759,directed,1
60,25743,directed,1
61,25760,directed,1
60,25761,directed,1
70,25762,directed,1
61,25763,directed,1
63,4922,directed,1
61,25737,directed,1
72,25764,directed,1
73,25765,directed,1
61,25737,directed,1
74,25766,directed,1
75,25767,directed,1
61,25768,directed,1
17,25769,directed,1
6,25770,directed,1
61,25710,directed,1
61,25735,directed,1
76,25771,directed,1
61,25760,directed,1
61,25772,directed,1
61,25773,directed,1
77,25765,directed,1
61,25774,directed,1
75,25775,directed,1
77,25765,directed,1
17,25776,directed,1
74,25766,directed,1
78,25777,directed,1
61,25778,directed,1
79,25779,directed,1
80,25780,directed,1
61,3142,directed,1
75,25725,directed,1
81,25781,directed,1
75,25782,directed,1
77,25783,directed,1
82,25708,directed,1
77,25784,directed,1
73,25785,directed,1
83,25786,directed,1
73,25722,directed,1
61,919,directed,1
61,25787,directed,1
78,916,directed,1
39,25788,directed,1
19,25789,directed,1
84,916,directed,1
85,25790,directed,1
86,25791,directed,1
87,25792,directed,1
61,25751,directed,1
61,877,directed,1
88,25793,directed,1
89,24716,directed,1
90,25794,directed,1
76,25795,directed,1
61,919,directed,1
91,25796,directed,1
92,25797,directed,1
61,25743,directed,1
93,25798,directed,1
94,25799,directed,1
95,25800,directed,1
61,25741,directed,1
96,25801,directed,1
97,25743,directed,1
98,25704,directed,1
99,25802,directed,1
100,25803,directed,1
101,25804,directed,1
102,25805,directed,1
101,25806,directed,1
103,25807,directed,1
8,25808,directed,1
104,25809,directed,1
105,25810,directed,1
106,25811,directed,1
107,25726,directed,1
108,25812,directed,1
109,25813,directed,1
110,110,directed,1
111,25814,directed,1
112,25815,directed,1
113,25816,directed,1
113,25817,directed,1
101,25748,directed,1
114,25791,directed,1
115,25818,directed,1
116,25819,directed,1
117,25820,directed,1
117,117,directed,1
118,25821,directed,1
119,25822,directed,1
120,25819,directed,1
121,25823,directed,1
122,25824,directed,1
121,25823,directed,1
123,25825,directed,1
120,25826,directed,1
117,25827,directed,1
124,25828,directed,1
125,25829,directed,1
122,25830,directed,1
122,25831,directed,1
126,4196,directed,1
121,25823,directed,1
122,25751,directed,1
124,25832,directed,1
127,25756,directed,1
128,25833,directed,1
129,25834,directed,1
130,25835,directed,1
131,25836,directed,1
132,25837,directed,1
133,25838,directed,1
101,25748,directed,1
134,25839,directed,1
135,25840,directed,1
136,25841,directed,1
137,25842,directed,1
115,25843,directed,1
138,76,directed,1
139,25844,directed,1
140,25845,directed,1
141,25846,directed,1
142,25847,directed,1
27,25817,directed,1
142,5003,directed,1
143,25848,directed,1
144,21464,directed,1
145,145,directed,1
146,25849,directed,1
138,138,directed,1
137,25850,directed,1
147,25748,directed,1
148,25851,directed,1
117,25852,directed,1
149,25853,directed,1
150,25737,directed,1
121,2197,directed,1
22,25854,directed,1
151,25726,directed,1
152,25855,directed,1
153,526,directed,1
151,25726,directed,1
154,25692,directed,1
152,25856,directed,1
151,25857,directed,1
155,155,directed,1
156,25788,directed,1
157,25819,directed,1
158,25858,directed,1
159,25859,directed,1
160,25860,directed,1
161,3634,directed,1
159,25722,directed,1
162,25861,directed,1
152,25862,directed,1
163,25863,directed,1
