Source,Target,type,Weight
18,29,undirected,8560
35,18,undirected,4023
353,474,undirected,3990
9,18,undirected,3444
18,20,undirected,3041
18,47,undirected,2923
15,18,undirected,2910
29,15,undirected,2342
29,64,undirected,2315
15,9,undirected,2227
9,29,undirected,2091
18,7,undirected,2064
18,69,undirected,2054
29,22,undirected,2048
353,353,undirected,1995
29,20,undirected,1983
18,22,undirected,1934
29,35,undirected,1873
30,18,undirected,1621
29,7,undirected,1600
149,454,undirected,1482
281,149,undirected,1407
364,149,undirected,1404
364,364,undirected,1404
364,367,undirected,1404
364,281,undirected,1404
364,454,undirected,1404
149,364,undirected,1404
149,367,undirected,1404
364,367,undirected,1404
364,281,undirected,1404
364,454,undirected,1404
367,281,undirected,1404
367,454,undirected,1404
281,454,undirected,1404
20,9,undirected,1391
15,22,undirected,1361
14,9,undirected,1299
20,15,undirected,1289
64,18,undirected,1281
69,29,undirected,1190
13,14,undirected,1170
30,20,undirected,1125
29,14,undirected,1105
17,18,undirected,1095
13,9,undirected,1055
37,15,undirected,969
37,38,undirected,961
38,15,undirected,961
40,15,undirected,956
37,39,undirected,955
37,40,undirected,955
39,15,undirected,955
42,15,undirected,955
37,42,undirected,954
39,40,undirected,954
38,39,undirected,953
38,40,undirected,953
38,42,undirected,952
39,42,undirected,952
40,42,undirected,952
41,42,undirected,952
41,15,undirected,952
37,41,undirected,951
29,13,undirected,951
38,41,undirected,950
39,41,undirected,950
40,41,undirected,950
64,69,undirected,945
29,18,undirected,940
23,18,undirected,938
7,20,undirected,923
18,136,undirected,914
29,30,undirected,900
29,17,undirected,896
29,23,undirected,869
6,8,undirected,863
18,52,undirected,855
47,35,undirected,837
47,29,undirected,819
88,97,undirected,809
12,18,undirected,764
35,15,undirected,745
56,18,undirected,723
18,19,undirected,721
18,108,undirected,717
108,20,undirected,711
18,148,undirected,710
12,19,undirected,709
365,149,undirected,689
365,281,undirected,689
365,454,undirected,689
364,365,undirected,688
365,364,undirected,688
365,367,undirected,688
18,45,undirected,685
14,129,undirected,684
101,29,undirected,677
1,31,undirected,675
50,29,undirected,675
30,7,undirected,673
29,55,undirected,671
18,50,undirected,662
18,48,undirected,651
20,52,undirected,646
18,55,undirected,641
12,14,undirected,631
29,136,undirected,630
29,45,undirected,620
16,129,undirected,617
101,18,undirected,602
20,19,undirected,601
9,35,undirected,593
69,20,undirected,590
101,156,undirected,587
304,304,undirected,586
30,9,undirected,578
88,18,undirected,576
14,9,undirected,576
27,137,undirected,572
126,129,undirected,569
27,387,undirected,565
129,134,undirected,564
136,22,undirected,561
29,20,undirected,557
14,126,undirected,556
19,129,undirected,553
129,187,undirected,548
129,13,undirected,546
29,52,undirected,545
14,18,undirected,541
29,48,undirected,541
295,88,undirected,538
88,204,undirected,527
35,22,undirected,524
35,20,undirected,520
7,69,undirected,514
20,12,undirected,514
19,14,undirected,509
